Movie Title,Year,Genre,Rating,Gross,Production Budget,orig ROI,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Element,1997,Action,,63820180,95000000,-0.630514747368421,-1.43641131205823,-0.1877881,0.117384,-0.4151804,0.03380614,0.02879384,0.02093309,0.1411409,0.03462183,0.1582693,0.1537119,-0.182414,-0.2977114,0.6594781,1.473541,-0.2788946,0.5320225,-0.1814416,0.7148662,-0.2614026,0.410455,-0.07409986,0.7995398,0.1280434,0.2079519,-0.3058214,0.4474188,-0.2953519,0.4035448,-0.07233268,0.0655749,0.4161147,0.2642362,0.4994607,0.2338363,0.02044494,0.2548925,0.4518945,1.128444,-0.01182124,0.2061712,0.02236528,0.2316353,0.1684055,0.02158498
Ace Ventura Pet Detective,1994,Comedy,,72217396,15000000,1.64797118666667,1.40488742385235,-0.1582461,0.9247288,0.3589992,0.9591086,0.2572199,0.083126,0.3120931,0.1799288,-0.3932316,0.6936336,-0.2220229,-0.6744264,0.5379115,-0.6429113,0.03016153,-0.139698,0.6563553,-0.1586184,0.1997185,0.1454006,0.3815704,-0.3192241,0.3785055,-0.2343326,0.4630493,0.4270198,-0.2771167,0.2041119,-0.01420354,-1.016112,1.59322,-0.8786884,-0.6442492,0.3755534,-0.2576641,1.015732,-0.9506441,2.213653,-0.2888039,0.1713759,0.6727903,0.1939536,0.08666574,0.4687664
American Gangster,2007,Thriller,,130164645,100000000,-0.2840944525,-0.482158835808507,-0.1679238,0.25096,-0.1824367,0.6721467,0.03009993,-0.1203856,0.4630876,0.3030473,-0.5522577,0.7038343,0.0704521,0.09720058,0.3638271,-0.08447409,0.2131068,-0.4789312,1.158154,-0.2003513,0.147355,1.80244,-0.4384155,-0.2625291,1.2352,0.3231898,-0.2473325,-0.1299035,0.0485873,0.1108717,0.153625,-0.3826328,0.5786923,-1.111286,0.6758311,0.2874255,0.6294599,-0.08873143,0.1467323,0.2799779,-0.3829074,0.8967627,0.01858972,0.331468,0.4812536,0.09427714
Assassins,1995,Action,,30303072,50000000,-0.666666208,-1.58496051557415,-0.05962141,-0.2532796,0.4804731,1.400824,-0.4727657,-0.4538863,-0.1515806,-0.02737346,-1.196843,0.4181653,-0.619256,0.6723916,0.2348086,0.5086444,0.01810062,0.9136568,0.1055194,0.9120581,-0.8226558,0.6224834,-0.2910236,0.2805152,-0.7589594,0.4611956,0.2634237,0.2924016,0.5079152,0.009223081,-0.1261157,0.3899705,-0.008128109,0.1997575,0.2266036,0.2231232,0.1588881,-0.05332375,0.213984,-0.3133798,0.2571057,-0.1278265,0.02971997,0.2799476,-0.1360634,0.08739489
AWalk to Remember,2002,Drama,,41281092,11800000,0.924118694915254,0.944197798735693,0.5994239,0.3706779,3.178317,0.692035,-1.078377,-0.9344675,-0.9423652,-0.1132252,-1.874496,0.2325451,-1.562486,-0.07981958,-0.8406419,-0.4885975,-0.7949772,-0.6050219,-0.9495104,-0.600639,-0.8002661,-0.736162,-0.6962414,-0.7241196,-1.434237,0.1723822,0.03137758,-0.9579097,-0.7671903,-0.170996,-1.498253,-0.1953311,-0.9724481,-1.133523,-0.7811519,-0.8067308,-0.7084455,-0.3211461,-0.9582979,-0.5747633,-1.368677,-0.4184544,-0.6811454,-1.018054,-0.7755655,-0.4532144
Babel,2006,Drama,,34302837,20000000,-0.0566719825,-0.084168577502864,0.6754947,-0.7563702,-0.6714537,-1.066124,-0.7071206,-1.165238,-0.5245718,-1.333747,-0.1088912,0.303896,-1.228951,-0.9789232,-1.015167,-0.6782585,-1.276225,-0.9363183,-0.9671241,-0.5741987,-0.66962,0.2037247,-0.7518296,-0.8926597,-0.7831542,-0.9979689,-1.010919,-0.3801816,-1.295975,-0.07255966,0.7674329,-1.707807,-0.2639442,-1.138247,-1.194856,-0.7919448,-1.383061,0.5126628,-1.538794,-0.07793517,-1.100819,-0.8381027,-0.5464086,-1.259549,0.1895085,0.3554205
Batman and Robin,1997,Action,,107325195,125000000,-0.527769142,-1.08243577710522,-1.160156,0.5586464,0.9000751,1.485452,0.9276993,1.554706,0.99766,0.7532383,-0.03963194,1.738829,0.1888863,1.697045,0.4730347,1.358268,0.5466075,1.661796,0.5260619,1.212145,0.03348321,-0.8803273,1.407156,0.8946301,1.068417,1.335611,0.5901885,1.323717,0.5497975,1.231855,1.308322,0.9299379,1.314053,0.8698348,1.191279,1.280849,1.878617,0.09504366,0.2518327,2.400062,1.863757,2.167949,1.152791,2.015949,0.4641858,1.696664
Bones,2001,Drama,,7316658,16000000,-0.74848988125,-1.9913116512113,-0.1642379,-0.06248929,0.5483025,-0.6154584,0.2761789,-0.5794183,0.1908619,0.2791233,0.5816082,-0.1614691,0.187088,0.1772953,-0.06819157,0.9774732,-1.215613,-0.3523739,0.8368366,-0.5832895,0.06867064,-0.1052756,-0.348654,0.2062152,0.5562914,0.5994126,0.4139587,0.1366189,-0.05376036,0.6213523,-0.4560921,0.1751441,-0.02330429,0.8562264,-0.3192101,0.4808415,0.3526183,0.2249974,0.2891516,0.4120999,-0.3765273,0.4423582,-0.4373485,0.3892493,0.5845327,0.3834908
Bourne Identity,2002,Action,,121661683,60000000,0.115232094166667,0.157343984816861,-0.02231979,-0.1943326,-0.5896731,0.03482062,0.199922,-0.2547037,-0.1256373,-0.05311365,0.0761367,-0.2757591,-0.1561188,0.1550915,-0.9478393,-0.30365,-0.6320479,-0.836204,0.1311318,-2.082112,6.569829,-2.398989,1.23755,-0.7606144,0.8178628,-0.4706291,0.3118713,-0.3898293,0.1800813,0.08215549,0.05087138,-0.009069961,-0.03367777,0.2165875,-0.3904157,0.4916572,1.589012,-0.07205209,0.04238592,0.07110532,-0.001642451,0.235577,0.04510947,0.9547011,-0.01076707,0.210632
Brazil,1985,Drama,,9929135,15000000,-0.635931716666667,-1.45771903240977,0.07670193,-0.08033989,-0.1714142,-0.5288958,0.2226109,-0.6536081,-0.3199382,-0.08484505,0.2156777,-0.821778,0.2887474,-0.3603666,0.1681848,-0.5464287,0.06388928,0.1039892,-0.3010956,-0.4327778,-0.9405567,-0.05177986,-0.3554614,0.4784361,0.1627307,0.7912606,-0.06976594,0.5625626,0.08984341,0.4113219,0.4235367,0.2736129,0.3173271,-0.6006353,0.1085368,0.09423244,0.3711969,-0.538644,0.3920774,-0.3993532,0.4578808,-0.2238229,-0.03644501,0.3118,0.3074475,-0.3993768
Bruce Almighty,2003,Comedy,,242829261,81000000,0.648840661111111,0.72145198790104,0.1649968,0.3265483,-0.05858586,-0.0026211,-0.5534867,-0.4257379,0.4000134,0.3957392,-0.004624871,-0.5348448,-0.9030347,0.865272,-0.4196154,-0.4053368,-0.1018707,-0.51896,-0.35309,-0.05044618,-0.4773829,0.1603725,-0.2418251,-0.04063431,-0.5262972,0.7862807,-0.4280867,0.6951063,-1.123782,0.7223212,0.2714484,-0.6743289,0.2249349,-0.6360119,-0.6197157,0.1499644,-0.5327482,0.319863,-0.5780437,0.3204775,-0.5272047,0.03269573,-1.025181,0.2925216,-0.1832971,-0.5696979
Charlie's Angels,2000,Action,,125305545,90000000,-0.234243891666667,-0.385043124833211,0.08487965,0.2192146,-0.2976529,-0.1588202,0.353891,-0.2542082,0.2304369,0.08571855,-0.517684,0.008187423,-0.4183911,0.003455433,0.07210772,-0.3322108,-0.1850553,0.01529123,-0.1710468,-0.2521814,-0.3394012,0.3564975,-0.8501361,0.5903647,-0.2640457,0.3927007,-0.1657783,0.002216986,0.2046815,0.0237585,-0.2833583,1.113942,-0.8147634,-0.3372273,-0.5129809,0.3931059,-0.6808869,-0.0952057,0.1819848,-0.6001441,-0.6819117,0.390335,0.1292038,1.017948,-1.013984,0.4463951
Collateral Damage,2002,Thriller,,40077257,85000000,-0.740676572352941,-1.94717554768781,-0.3706511,-0.5531496,-0.0422113,-1.218558,0.2016966,0.1184274,0.4292838,-0.4171556,0.8935068,-0.4704579,0.5368487,0.5195086,-0.01972079,0.5291603,0.02317885,0.3370868,0.171301,-0.08064903,0.6814043,0.5985083,0.9584985,0.4491409,1.331562,0.2877954,0.9163002,-0.05094258,0.7365597,0.3534101,0.3383693,-0.2967925,-0.3458252,1.293814,-0.4982891,0.5298639,0.9262774,0.2495978,0.8907149,0.3445228,0.8442667,0.3033179,0.5634751,0.4657579,0.7791451,0.3310046
Dances with Wolves,1990,Drama,,184208842,19000000,4.33236121578947,2.41477451234309,-0.1410539,-0.004505692,0.4027376,0.1561767,-0.1707397,0.5661148,0.2109132,0.02372122,0.001826256,0.2246467,-0.08375993,0.09914743,-0.3667239,0.5619106,-0.1186795,-0.05044683,0.2020514,-0.5169692,-0.03715648,0.12976,-0.2395427,-0.100464,-0.04221512,-0.4302434,0.236645,-0.3122233,0.08009428,0.3530618,0.1211151,0.3473617,0.3625128,-0.1194392,0.4897267,-0.1991843,0.2638877,0.1280427,0.2724204,1.084432,0.6522164,0.5923318,0.3989345,0.06141162,-0.1475873,0.2603442
Day of the Dead,1985,Horror,,5804262,3500000,-0.087901685714286,-0.132738755269383,0.03826452,0.2150797,-0.249289,-0.1718298,0.3921909,0.2847917,0.4088112,-0.2532581,0.3198945,0.123739,0.2692377,0.3389251,-0.0896093,-0.02242494,0.05473567,0.1276165,0.279615,0.1396985,0.2432913,0.0973055,-0.167303,-0.04880854,0.07057788,0.1728675,-0.3614985,-0.3032396,0.4352747,-0.4293497,0.08982819,-0.3847039,-0.6468655,0.03112959,-0.7066667,-0.4969068,-0.1495394,-0.3057951,-0.2672561,0.03714678,0.3383992,-0.6890676,0.5127241,-0.6893776,0.4767291,-0.2614931
Devil in a Blue Dress,1995,Thriller,,16140822,27000000,-0.671205477777778,-1.60474183123475,-0.1221904,0.170405,0.9646216,-0.1812979,0.6476905,0.08839545,0.6666252,0.2090389,0.6128158,-0.7656986,0.5301497,-0.2609773,-0.1295292,0.5515574,0.2477414,0.01263977,0.603385,-0.2271689,0.2810348,0.6542892,-0.05999597,0.4958537,0.3097177,0.4680617,0.1725783,0.3370259,-0.01168886,0.4027253,-0.3608839,-0.4279509,0.2641415,-0.2465762,1.291357,-0.198369,0.5510547,0.3767871,0.1598554,0.935901,-0.3402651,1.423197,-0.7867065,0.3104334,0.02920257,-0.1456373
Disturbia,2007,Thriller,,80209692,20000000,1.20576653,1.14128009653388,0.02796195,-0.9573412,-3.243862,0.4168021,-1.078261,1.041904,0.2337043,-0.2341821,-0.1469798,-0.1466763,-0.06935826,-0.03975977,0.4667778,-0.07100259,0.2930589,-0.1935063,-0.1294936,-0.04064719,0.3131776,-0.3146291,-0.08963985,-0.06704278,0.4773204,0.3529314,0.6094802,-0.05393451,0.6076546,-0.3172398,0.1468122,-0.6542935,0.7425881,0.4627629,-1.042698,0.2421669,0.5752813,0.343821,-0.04735028,0.6936636,0.2201401,1.155616,0.07307721,0.2661101,0.07281675,0.006292754
Dumb and Dumber,1994,Comedy,,127175374,17000000,3.11449739411765,2.04071620918885,0.1674571,-0.08798934,-0.3732872,-0.1356213,-0.2171867,-0.8360626,-0.05907352,-0.5174215,-0.4361068,0.2267086,-0.9518872,1.016332,0.5165344,0.2229859,-1.207562,0.5050787,-1.350053,0.6432123,-0.3038829,-1.072589,0.7499653,-1.721026,0.6572949,-0.4059938,-0.1454287,-0.1353015,-0.09216919,0.1028797,-0.4780144,0.05029473,-0.0568661,0.02136246,-0.7632142,-0.1827413,-0.05971869,-0.4504604,-0.005336379,-0.7549534,0.525211,-1.126468,0.06584463,-0.2396092,-0.2812289,-0.2089304
Enemy of the State,1998,Action,,111549836,85000000,-0.278206943529412,-0.470342830072321,-0.4898279,0.6232698,0.5077915,0.3105004,1.083194,1.105367,0.5423014,0.8295942,1.245201,0.2668755,0.7793303,1.011999,0.7893716,0.7214226,0.7651189,0.1947258,0.810267,0.1039007,0.5494552,0.3181449,0.3026632,0.7147649,0.259669,0.6977646,0.696784,0.672293,0.5781725,0.425897,0.5036149,0.2188732,0.665184,0.02373559,-0.5704408,0.4498396,-0.2745017,-0.1220303,0.3684629,0.4546643,0.2724019,0.5497047,0.4614433,0.4459404,0.2019848,0.2592733
English Patient,1996,Drama,,78716374,35000000,0.236971591428572,0.306812367431704,-0.4284742,-0.05640926,-0.7719105,-2.215906,1.267184,-0.5375245,1.619898,-0.5467233,1.218084,0.08522517,0.6397568,0.5718623,-0.08796776,1.385289,0.1315696,0.6388055,0.5755477,0.01893929,0.5962115,0.004960683,0.3027621,0.3382329,0.5307921,0.4455379,0.4319453,0.5784636,0.4633773,0.5776879,0.5725563,-0.0100071,0.3114866,0.6215209,0.4621426,0.1869985,0.8754916,0.4856938,0.3466495,0.3324668,0.05079326,0.8224919,0.7624597,0.1415919,0.3494993,0.1415771
Eternal Sunshine of the Spotless Mind,2004,Comedy,,34366518,20000000,-0.054920755,-0.081492790341756,1.348811,-1.498732,-0.5684109,-2.339152,-1.221359,-1.704679,-1.874697,-0.7906912,-2.082485,-0.2068921,-2.446557,0.0106333,-0.1745896,-1.368128,-1.472186,-0.7831848,-1.559282,-1.420395,-0.5733344,-1.391315,-1.321249,-1.236885,-1.684442,-1.441067,-1.402125,-1.374065,-1.96258,-0.8059659,-1.565805,-0.5212715,-1.469683,-0.3805422,-0.6492393,-1.160947,-0.7680914,-2.208403,-0.8926718,-1.389442,-1.181928,-0.9930219,-1.615185,-1.065498,-1.547133,-1.878922
Fantastic Four,2005,Action,,154696080,87500000,-0.02762464,-0.040414758962305,0.111113,-0.181046,-0.01867494,-0.5842889,0.3260275,-0.1113243,0.1183712,-0.2396144,0.02496951,0.4267584,-0.1343452,0.3978672,-0.1535429,0.2291967,-0.2611309,0.4742853,-0.3320846,-0.3939948,0.1797478,0.009126326,-0.0876398,-0.1070241,-0.2612578,0.1516487,-0.5015309,0.6523126,-0.379124,0.7421563,-0.02868069,0.03151976,-0.4619747,0.2176654,-0.588594,0.470122,-0.07545168,-0.03437811,-0.1053373,-0.3716771,-0.8546252,0.4130759,-0.5610744,-0.4738476,-1.484877,0.4169019
Fight Club,1999,Drama,,37030102,63000000,-0.676721331746032,-1.62914978142136,0.722984,-1.029768,-0.5832314,-0.2459814,-0.3560993,-0.8795084,-0.4539176,-1.489281,-0.2163028,-0.5352183,-0.2479667,0.3902958,-0.9800211,-0.5873453,-0.2303541,-1.094474,-0.5974815,-0.9711658,-0.1546624,-0.4360346,-0.9587588,-0.4213824,-0.468638,-0.8972268,-0.8488936,-0.7025802,0.08597782,-0.4689721,-0.7021342,-0.6459188,-0.9258525,-0.0731749,-1.715722,0.03235831,-0.9036479,0.07315839,-1.350879,0.3419571,-1.721144,0.5828492,-0.8469457,-0.1228098,0.07609639,0.03915838
Final Destination 2,2003,Horror,,46961214,26000000,-0.006589703846154,-0.009538395290472,-0.1886265,-0.03640684,1.666972,0.3947255,-0.413933,0.5643442,-0.003268191,-0.4730722,0.3412096,0.1108663,0.6149268,0.02971297,-0.1440857,0.8039277,-0.2068681,0.1855767,0.2915887,-0.06254536,-0.4546127,0.812646,-0.2329447,-0.4119059,0.2333765,-0.8067492,-0.294605,0.08059597,0.2824788,0.6156,-0.1008011,0.3046872,0.1106594,0.09413997,0.08039451,0.3749676,-0.3773848,1.018214,-0.8696286,0.5871232,-0.6456056,0.3292584,-0.5224263,0.7190981,-0.7109169,0.5370568
Game 6,2006,Comedy,,129664,1000000,-0.9286848,-3.8096465867731,0.3254476,-0.08464759,-0.1800261,-0.4210354,-0.4546685,0.4566001,-1.119656,-0.3443498,-0.5052527,1.137374,-3.767475,0.3329827,-1.148783,0.5912251,-0.9256771,-0.01908068,-0.2921237,0.7197584,-0.6284509,-0.2009625,0.153421,-0.4773858,0.407953,-0.3261926,-0.0007590183,-0.1426204,-0.6407195,-0.3424215,0.1567086,-1.144186,-0.07299668,-0.6239374,0.2699664,-1.19553,0.2135507,-0.7228782,-0.03695758,-1.826748,0.281078,-0.4233497,0.474073,-0.6147407,0.6529942,-1.613255
Gattaca,1997,Drama,,12532777,36000000,-0.808527018055556,-2.3847872618218,-0.03544869,0.03975029,0.7794289,-0.06059423,0.965978,-0.4073205,-0.2552136,0.5454131,0.7910474,0.3452836,0.5510632,0.1881767,0.324222,-0.1976289,0.09559742,0.05643408,0.2616847,0.3077012,-0.1228268,-0.07672473,0.02467026,-0.06849976,0.5641763,0.5290388,-0.2960074,0.01932117,0.09894035,-0.2625298,0.212379,0.26077,-0.4026523,-0.3448987,0.1308172,0.6642133,-0.5856792,-0.1230732,-0.002886156,-0.1318842,-0.1831205,0.3614205,-0.01420014,-0.04465515,0.5523513,-0.2309879
Gladiator,2000,Action,,187705427,103000000,0.002310532524272,0.003329548778748,-0.004366076,0.05149552,0.351706,-0.3035947,0.7477549,0.2291756,0.3615267,0.02742394,0.07414117,-0.1230726,0.164842,-0.1616481,-0.2208423,-0.1021554,0.01136974,-0.7678542,-0.6669297,-0.9108744,0.4673686,-0.4526866,-0.5525961,0.06398287,-0.7599609,-0.4035461,-0.2024103,-0.1282199,0.2915425,0.2847276,0.2435719,-0.4582448,0.06750973,0.6973716,-0.7423097,0.4027014,0.3645951,0.0172099,0.1833173,0.2863438,-0.0659386,0.6528801,0.1853858,0.1840946,0.2151838,0.08156108
Gone in 60 Seconds,2000,Action,,101643008,103300000,-0.45882231945789,-0.885825754529323,0.166206,-0.1396872,-1.358337,1.033303,-0.5901033,-0.7339097,0.2157488,-0.4039843,-0.0906627,-0.3641523,0.1873173,-0.8014754,0.4247845,-0.587719,0.07391777,-0.2536264,-0.398085,0.4201375,-0.3409458,-0.3347309,0.1478327,-0.03489659,-0.7505072,1.066739,-0.5689038,0.06171814,0.08809972,0.1691708,-0.4061805,-0.1540946,-0.09475093,0.0340204,0.2324496,-1.124812,0.3677841,-0.4844759,0.621141,-0.6869212,1.256288,-0.2048093,0.399101,-0.6570146,0.351673,-0.6485307
Groundhog Day,1993,Comedy,,70906973,14600000,1.67115309246575,1.41746266388457,-0.1743286,0.6076783,0.2918154,0.9784104,-0.09180982,0.515581,0.1608076,0.1728355,0.1756176,0.9421674,-0.2032342,0.5776869,1.580633,-0.06095909,0.08504335,0.402632,0.2921835,1.330809,-0.1914572,-0.1710899,0.6754989,0.3167774,-0.144781,0.09984575,0.01604864,0.5769039,0.3125504,0.5078739,0.8133986,0.3253479,0.4947464,0.5244585,0.7946847,0.4946219,-0.5130785,0.2357038,-0.4614401,0.9302681,-0.3094015,0.09045232,0.2479965,0.3241969,0.3949937,0.4061642
"Grudge, The",2004,Horror,,110359362,10000000,5.06976491,2.60164064008142,-0.2600001,-0.00376801,0.07425853,0.1075226,0.2034313,-0.004334508,0.07871115,0.2860887,-0.1281553,0.3064279,0.1734263,1.062395,-0.04594117,0.6611789,0.4680188,0.3698139,0.420359,1.119969,0.2791641,0.5583612,0.3860037,0.15696,0.3847935,0.3682158,0.9548218,0.1855629,1.059059,0.5697672,1.34712,0.1107693,0.4327186,0.4182251,0.05680666,1.268851,-0.8997088,1.228523,-0.2364344,-0.363066,0.1312934,0.07749774,0.4446955,-0.4650796,0.1005377,0.09023526
Harold and Kumar Go To Whitecastle,2004,Comedy,,18250550,9000000,0.115311388888889,0.157446559013182,0.07052857,-0.2511253,-0.5064714,-0.2716587,0.6476555,-0.8351875,0.2908955,-0.5553411,0.6082415,-1.645465,3.458808,0.76194,-0.4957696,2.34689,0.2577706,0.1898599,0.241729,0.4570101,-0.3861727,0.7239632,-0.7970794,0.6901949,0.4734815,0.4030393,0.716997,-1.45315,1.192915,0.2881714,1.573563,0.6318437,-0.4787684,0.6792712,-1.77948,-0.6872661,0.3322496,-0.1773362,2.265259,-0.07737197,0.5035204,-0.1165728,0.3781416,0.1656574,-0.7328189,1.345262
Hellboy,2004,Action,,59623958,60000000,-0.453447051666667,-0.871566828454639,0.1430577,0.09635319,-0.06553845,-0.09005929,-0.05147646,-0.2852517,0.5413714,-0.9595909,-0.4487146,0.0666858,-0.1949295,-1.488549,-0.2927073,-0.1211175,0.588382,-0.4434874,1.021027,-0.3517977,-0.6788124,0.5195346,-0.8774676,-0.560243,-0.5549464,0.01882007,-0.815552,-0.2420477,-0.1576931,-0.0674265,-0.701911,0.9694239,-1.914117,0.5740972,-0.09281188,0.06303732,-0.5495422,-0.0302948,-1.305899,0.4138125,-1.162396,-0.3678197,0.08727064,0.6357892,-0.4132488,0.3003534
Horse Whisperer,1998,Drama,,75383563,60000000,-0.308984005833333,-0.533208991454886,0.02361027,0.4754695,0.5818179,-0.1333439,-0.6365203,0.1236208,-0.7331018,0.8679564,-0.1834846,0.1595509,0.05871369,0.3397547,-0.0363372,-0.001594992,0.7477381,-0.5650127,0.2906676,-0.7742831,0.1575035,-0.4531092,0.03486083,0.02002858,-0.375799,0.1659932,-0.2976335,0.2787781,0.3803368,0.9720646,-0.3644671,0.401472,-1.199205,-1.411266,-0.05090134,-1.252852,0.6723813,-0.9764604,0.006886898,-0.4516852,-1.529983,-0.628139,0.2748185,-0.7154585,-0.5387511,-0.8894997
Hotel Rwanda,2004,Drama,,23530892,17500000,-0.26045768,-0.435295387580358,0.543199,-0.7851097,-1.412582,-0.8452797,-1.100066,-0.1368172,-1.155324,0.01311514,-0.2617544,-0.006996859,-1.076362,-0.5733307,0.200853,-0.9184278,-0.07217131,-0.4513322,-0.8145271,-1.024063,-1.029147,-0.3050225,-0.2846387,-1.317896,0.05613217,-0.8899116,-0.1779561,-0.9537127,-0.4222512,-0.8446052,-0.5062765,-0.6586893,-1.188528,-0.415591,-1.443671,0.09526018,-0.3839333,-0.0370704,-0.8820756,-0.7877029,-0.503064,-1.185971,0.3808794,-1.953339,-0.842802,-0.5468636
IAmLegend,2007,Horror,,256393010,150000000,-0.059892296666667,-0.089102046433443,-0.1316179,0.3407015,0.2158674,0.9124315,2.145658,-0.3038767,-0.3840426,-0.2597229,0.7041092,0.9029733,-0.02652072,1.186328,0.4030647,0.1722676,0.2466294,0.310734,-0.02562498,-0.228548,0.4256769,0.1115474,-0.08700147,0.6644345,-0.1967633,0.5161567,0.2526757,0.284018,-0.1258232,-0.4369312,0.8999972,-0.8496743,0.8308591,-0.3603757,-0.4784898,0.875071,-0.6985251,0.3379694,-0.2230018,0.1411132,-0.5247366,0.6140781,0.4628896,-0.03745448,0.9752222,0.2799862
Independence Day,1996,Action,,306169255,75000000,1.24524120333333,1.16687044013814,0.8220503,-0.09432595,-1.094209,-0.5508625,-1.50343,-0.8489593,-1.201245,-0.0329706,-1.182904,-0.9235468,-0.5988393,-1.496287,-0.5684495,-1.327374,0.9732608,-1.068839,1.134188,-0.524097,-0.3669194,-0.4909466,-1.14499,-0.5116439,-0.6623956,-0.9698512,0.1860723,-1.438589,-0.170236,-1.246775,-1.024869,-0.4920859,-0.5521685,-0.6306989,-0.4610217,0.09048457,-0.3937087,0.1639284,-1.691241,-0.5157557,-1.568229,-1.02065,-1.640473,-1.010961,0.2931017,-1.383247
Insider,1999,Drama,,28965197,68000000,-0.765722671323529,-2.0937107454177,-0.1175245,-0.1892642,-0.06786303,-0.7876683,0.2935083,0.3457988,-0.8466817,0.4641946,0.2137314,0.08343585,-0.02928996,-0.4338778,0.6462147,0.1650134,-0.8864181,0.5144191,-0.1644033,0.2533882,0.3812765,-0.1476752,1.019813,-0.2069045,0.3789805,0.02844474,0.9540178,1.304967,-0.7560215,0.6056427,-0.3131262,0.06078271,-0.2058721,-0.3811676,-0.2983285,0.2857032,-0.9757095,0.165435,0.1138182,-0.0100676,0.007123477,0.5382303,-0.02887589,0.5072325,0.1144456,0.1196154
