"Movie.Title","Year","Genre","Rating","Gross","Production.Budget","orig.ROI","ROI"
"Parsed_Insider,-The_g2.txt",1999,"Drama","R",28965197,68000000,-0.765722671323529,-2.0937107454177
"Parsed_insomnia_g2.txt",2002,"Thriller","R",67355513,46000000,-0.194662344565217,-0.312334303354197
"Parsed_interview_with_the_vampire_g2.txt",1994,"Horror","R",105264608,50000000,0.157910688,0.2115239796237
"Parsed_IRobot_g2.txt",2004,"Action","PG-13",144801023,120000000,-0.336328644583333,-0.591459087177842
"Parsed_Island,-The_g2.txt",2005,"Action","PG-13",35818913,120000000,-0.835829982083333,-2.60673742058829
"Parsed_IStill-Know-What-You-Did-Last-Summer_g2.txt",1998,"Horror","R",40020622,24000000,-0.082860745833333,-0.124787292317915
"Parsed_Juno_g2.txt",2007,"Drama","PG-13",143495265,7500000,9.5229861,3.39547225012217
"Parsed_Kalifornia_g2.txt",1993,"Thriller","R",2395231,8500000,-0.845014464705882,-2.68979451895701
"Parsed_knockedup_PDF.txt",2007,"Comedy","R",148761765,27500000,1.9752353,1.57300377017494
"Parsed_Labyrinth_g2.txt",1986,"Action","PG",12729917,25000000,-0.719941826,-1.83620155834582
"Parsed_Ladykillers,-The_g2.txt",2004,"Comedy","R",39692139,35000000,-0.376266387142857,-0.680998087379823
"Parsed_lake-placid_g2.txt",1999,"Thriller","R",31770413,27000000,-0.35282492037037,-0.627772039015241
"Parsed_Land-of-the-Dead_g2.txt",2005,"Horror","R",20700082,15000000,-0.240996993333333,-0.397822494234107
"Parsed_Last-Samurai,-The_g2.txt",2003,"Action","R",111110575,140000000,-0.563494169642857,-1.19592717099562
"Parsed_Leaving-Las-Vegas_g2.txt",1995,"Drama","R",31983777,4000000,3.3977693375,2.13677193698694
"Parsed_Legally-Blonde_g2.txt",2001,"Comedy","PG-13",96520674,18000000,1.94924281666667,1.5603446070655
"Parsed_Liar-Liar_g2.txt",1997,"Comedy","PG-13",181410615,45000000,1.21724085,1.14876549290599
"Parsed_littlenicky_g2.txt",2000,"Comedy","PG-13",39442871,80000000,-0.728830261875,-1.88273190864393
"Parsed_Living-in-Oblivion_g2.txt",1995,"Comedy","R",1111790,500000,0.222969,0.290387834680433
"Parsed_Lone-Star_g2.txt",1996,"Drama","R",12961389,5000000,0.42575279,0.511723855864013
"Parsed_Lord-of-Illusions_g2.txt",1995,"Horror","R",13249614,11500000,-0.366322808695652,-0.658180007056896
"Parsed_Lord-of-the-Rings-Fellowship-of-the-Ring,-The_g2.txt",2001,"Action","PG-13",315544750,93000000,0.866124865591398,0.900045522600452
"Parsed_Lord-of-the-Rings-Return-of-the-King_g2.txt",2003,"Action","PG-13",377845905,94000000,1.21080050797872,1.14456884915481
"Parsed_Lost-in-Translation_g2.txt",2003,"Drama","R",44585453,4000000,5.1304997875,2.61600469407195
"Parsed_magnolia_g2.txt",1999,"Drama","R",22450975,37000000,-0.66626929054054,-1.58324364736505
"Parsed_Manchurian-Candidate,-The_g2.txt",2004,"Thriller","R",65955630,80000000,-0.54655504375,-1.14100066246838
"Parsed_ManintheIronMask_g2.txt",1998,"Action","PG-13",56968169,35000000,-0.104785915714286,-0.159695360662741
"Parsed_ManOnFire_g2.txt",2004,"Thriller","R",77906816,60000000,-0.285854186666667,-0.485709423020247
"Parsed_Matrix-Reloaded,-The_g2.txt",2003,"Action","R",281576461,150000000,0.032447023666667,0.046067756798054
"Parsed_Men-in-Black_g2.txt",1997,"Action","PG-13",250690539,90000000,0.531997738333334,0.615414167434089
"Parsed_mighty_joe_young_g1.txt",1998,"Drama","PG",50632037,80000000,-0.651904745625,-1.52244594912891
"Parsed_Mimic_g2.txt",1997,"Horror","R",25480490,30000000,-0.532857683333333,-1.09806595550837
"Parsed_MINORITY_REPORT_--_May_16th_2001_revised_draft_by_Scott_Frank_g2.txt",2002,"Action","PG-13",132024714,102000000,-0.288102032352941,-0.490257612288222
"Parsed_Mission-Impossible_g2.txt",1996,"Action","PG-13",180981886,80000000,0.24425046625,0.315276927626897
"Parsed_Monkeybone_g2.txt",2001,"Comedy","PG-13",5409517,75000000,-0.960330208666667,-4.65581538097711
"Parsed_Mulholland-Drive_g2.txt",2001,"Drama","R",7219578,15000000,-0.73528214,-1.91747256093731
"Parsed_Mummy,-The_g2.txt",1999,"Action","PG-13",155385488,80000000,0.06827523,0.095283390284692
"Parsed_Mystery-Men_g2.txt",1999,"Comedy","PG",29762011,68000000,-0.759277852205882,-2.05455921089469
"Parsed_neverbeenkissed_g2.txt",1999,"Comedy","PG-13",55474756,25000000,0.220444632,0.287406845753284
"Parsed_New-York-Minute_g2.txt",2004,"Comedy","PG",14018364,40000000,-0.807247495,-2.37517848544695
"Parsed_Nick-of-Time_g2.txt",1995,"Thriller","R",8087783,33000000,-0.865203616666667,-2.89114630620929
"Parsed_Notting-Hill_g2.txt",1999,"Comedy","PG-13",116089678,42000000,0.520221973809524,0.604281992835478
"Parsed_oceans_11_g1.txt",2001,"Thriller","PG-13",183417150,85000000,0.186816852941177,0.247097318518306
