Movie Title,Year,Genre,Gross,Production Budget,orig ROI,ROI,,,,,,,,
Independence Day,1996,Action,306169255,75000000,1.24524120333333,1.16687044013814,-0.2608623,-0.4016799,1.165328,1.034267,0.8436806,0.4606795,1.116362,1.445465
Insider,1999,Drama,28965197,68000000,-0.765722671323529,-2.0937107454177,0.3868623,61.62012,2.935421,0.1568816,-3.716213,1.400223,-1.440685,-0.8761849
Insomnia,2002,Thriller,67355513,46000000,-0.194662344565217,-0.312334303354197,-0.147721,0.0156817,-1.924141,0.3059763,-0.3441884,-1.683102,0.8488872,9.475898
Juno,2007,Drama,143495265,7500000,9.5229861,3.39547225012217,-0.8628502,-3.312917,1.064245,-2.074685,0.583852,0.6346752,0.1652575,-0.2012363
Lake Placid,1999,Thriller,31770413,27000000,-0.35282492037037,-0.627772039015241,-0.05359447,7.449906,1.881079,0.1472501,-0.2197356,1.537712,-1.982956,-1.121856
Land of the Dead,2005,Horror,20700082,15000000,-0.240996993333333,-0.397822494234107,-0.03117815,-0.4249144,-9.851301,-1.16809,-0.1126327,-0.924069,-0.4643678,-1.568519
Legally Blonde,2001,Comedy,96520674,18000000,1.94924281666667,1.5603446070655,-0.3593792,-12950.43,-1.690187,1.614983,2.134439,2.344733,0.1721152,-0.9305288
Little Nicky,2000,Comedy,39442871,80000000,-0.728830261875,-1.88273190864393,-0.1987131,-28277.08,19.88944,-0.2526918,-0.670235,1.396876,-2.264957,-0.5478029
Lord of the Rings: The Fellowship of the Ring,2001,Action,315544750,93000000,0.866124865591398,0.900045522600452,-0.04222559,2.963822,-3.201711,-3.0853,-1.753913,3.529173,-0.2503572,0.08850992
Magnolia,1999,Drama,22450975,37000000,-0.66626929054054,-1.58324364736505,-0.07977366,-1.855076,2.013811,0.1292488,-0.1424369,0.8107744,0.305737,-0.1308826
Manchurian Candidate,2004,Thriller,65955630,80000000,-0.54655504375,-1.14100066246838,-0.3165567,2.795951,2.046994,-0.3013871,-2.890052,4.537886,2.754163,-0.4956573
ManOnFire,2004,Thriller,77906816,60000000,-0.285854186666667,-0.485709423020247,-0.408475,-4.756386,0.1564703,0.3454043,1.038683,0.4136785,0.7512231,-1.354211
"Matrix Reloaded, The",2003,Action,281576461,150000000,0.032447023666667,0.046067756798054,0.1424162,3.230478,1.469389,-2.108558,0.6971064,0.1686531,-2.117676,1.539336
Men in Black,1997,Action,250690539,90000000,0.531997738333334,0.615414167434089,-0.1698689,-492.1337,-1.619039,2.044429,0.8283468,0.8584781,-1.007449,2.214211
Mission Impossible,1996,Action,180981886,80000000,0.24425046625,0.315276927626897,-0.440607,36.53828,1.834088,3.133724,-0.5750854,-0.4143599,0.839676,
Monkeybone,2001,Comedy,5409517,75000000,-0.960330208666667,-4.65581538097711,-0.385652,-11.36943,1.682792,0.5001713,NA,3.152641,1.102661,-3.591009
"Mummy, The",1999,Action,155385488,80000000,0.06827523,0.095283390284692,0.4088008,0.4247895,1.219125,-0.5505859,-1.019084,1.880753,-0.03399505,-1.728691
Never Been Kissed,1999,Comedy,55474756,25000000,0.220444632,0.287406845753284,0.3621889,8.417368,0.918169,1.995188,2.389765,0.1006091,0.6943034,-1.295924
New York Minute,2004,Comedy,14018364,40000000,-0.807247495,-2.37517848544695,0.06626058,-0.4365042,1.431066,0.9910706,-1.545465,3.119905,4.244185,-4.071062
Ocean's Eleven,2001,Thriller,183417150,85000000,0.186816852941177,0.247097318518306,0.07612795,8.923482,-1.764433,-1.372762,-0.4887394,2.283196,2.075468,-0.5926848
"Pacifier, The",2005,Comedy,113006880,56000000,0.109889,0.150415399857336,0.2600514,-1.733386,4.296065,-1.596358,-1.880466,0.7457228,-1.124441,-0.7946895
"Pianist, The",2002,Drama,32519322,35000000,-0.488982082857143,-0.968554219536623,0.5566061,NA,-0.9454412,-1.418727,-2.418645,-2.740027,-3.126702,-0.6073985
