Movie Title,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,0.4318007,0.7881451,1.244865,-0.9894941,-0.1066912,-0.7607332,-0.6957071,-0.1133978,-0.9381467,-0.5194789,-0.1489576,-1.245495,0.5716969,-0.6687756,-0.6564197,-0.4282636,-1.295497,-0.03292127,-0.7162251,-0.5711815,-0.7956585,-0.7832398
Bruce Almighty,242829261,81000000,0.648840661111111,-0.2016305,0.2340097,0.9643008,-0.4720291,0.567516,-0.5525649,0.1226073,0.58591,0.1006361,0.3527275,0.5296062,0.2227815,0.1975715,0.7238211,0.8260387,-0.6149385,0.000924996,0.6134741,-1.36519,1.860495,-1.642143,1.448348
Collateral Damage,40077257,85000000,-0.740676572352941,0.1529544,-0.1094339,-0.7309563,-0.03122676,-0.2558764,-0.3760751,0.07931845,-0.07586745,0.2213321,-0.3753592,0.9488167,-0.005268863,0.8469893,-0.3251932,-0.04235592,-0.3036807,-0.1070562,-0.7795845,-0.7987239,-0.6104199,-1.038614,-0.4650357
Final Destination,46961214,26000000,-0.006589703846154,-0.2316952,0.2205448,1.061319,0.1534034,-0.07423391,0.4627214,0.03077806,0.2397634,0.5779167,-0.2423773,0.3221977,-0.1246012,-0.4099507,0.3219507,0.5939916,-0.06008917,-0.1377881,0.4032429,-0.1650678,-0.2132414,0.150011,0.02934973
Gladiator,187705427,103000000,0.002310532524272,-0.07103027,0.7112982,1.159613,-2.604673,0.1805444,-0.1643349,0.3903048,-0.373492,1.818061,1.133292,1.204228,0.9013142,-0.7381498,0.1982201,-0.4257754,0.2696621,-0.3195156,-0.1562083,0.02387439,0.2943272,-0.1939614,-0.01072906
The Grudge,110359362,10000000,5.06976491,-0.1481266,-0.143009,0.2954241,-0.1128857,0.1184386,-0.06679634,0.253151,0.06798481,0.2572665,0.5273736,0.2164815,0.133996,0.4077601,0.5659299,1.135308,-0.1005207,0.5465902,0.3658449,-0.3652798,0.3066382,-0.1401442,-0.1713838
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.2309205,-0.08407809,-0.1594759,-0.1457334,-0.3805116,0.1948845,-0.1739229,-0.9970169,0.2913017,-0.7702491,0.1957963,-0.4615505,0.1452709,-0.1456392,0.206817,0.5014689,-0.05826563,-0.7419841,0.5787751,-0.66059,0.1867399,-0.1708997
Hotel Rwanda,23530892,17500000,-0.26045768,0.5421003,-0.718766,-1.628026,-0.143847,-0.7675702,-0.04944464,-0.8316046,-0.3710418,-0.2281838,-1.297596,-0.1547664,-0.7697245,0.2650031,-0.5853636,-0.6385265,-0.6890542,-1.522713,0.4979313,-1.422698,-0.1136231,-1.030962,-1.225388
Insomnia,67355513,46000000,-0.194662344565217,-0.1873784,0.3819348,1.253337,0.0006667228,0.5492864,-0.5172535,0.210206,0.05909893,0.79294,0.4483789,0.3522,-0.4483432,0.766236,0.4836873,-0.1957065,0.4433887,0.1194839,0.3590861,0.9173634,0.1975168,-0.06027223,-0.1344255
"I, Robot",144801023,120000000,-0.336328644583333,0.3797045,-0.8337771,-0.1724698,-1.1469,0.001999738,-0.7064604,-0.0784998,-1.252808,-0.4257311,-1.214936,0.1117872,-0.4034357,-1.074818,0.00004442219,-0.5485658,-0.05408041,1.515228,-0.09848396,-1.169581,0.07806922,-0.7950984,0.009138692
Land of the Dead,20700082,15000000,-0.240996993333333,-0.02458481,0.3629207,-1.142293,2.123541,-3.263556,0.761079,-0.4933683,0.614185,-0.4786688,0.08200434,-0.002452755,-0.2603618,0.03282395,0.1419628,0.1351748,0.08249379,-0.5122612,0.5433208,0.2320528,-0.08302802,0.1365347,-0.2443969
Legally Blonde,96520674,18000000,1.94924281666667,-0.2130934,-0.6032957,0.3937468,-0.6106375,0.1813162,0.0124874,0.2272459,0.6051107,0.290708,-0.1324334,0.02653432,0.0287555,0.3491253,0.4984789,0.359597,-0.07505015,0.5250258,-0.5831176,0.3887495,0.0008530907,0.4302104,0.2058532
Manchurian Candidate,65955630,80000000,-0.54655504375,0.250506,-0.08821247,-0.1512105,-0.06737999,0.01340774,-0.9533063,-0.4766811,-0.4214298,-0.102766,0.5037501,0.2979358,-0.5774745,0.3604104,0.06861495,-0.3473417,-0.6773971,-0.4281466,-0.1635146,-1.121411,-0.1278955,-1.124868,-0.7130051
Lord of the Rings Fellowship,315544750,93000000,0.866124865591398,-0.4089884,0.2252292,0.2237716,-0.2790254,-0.04766911,0.03708668,0.3148729,0.1164162,0.3669313,0.1112122,0.7267773,0.01150885,1.575597,-0.6706084,1.847507,-0.1242651,0.6721285,0.1329339,0.6917511,0.5024758,0.404152,1.137015
The Matrix Reloaded,281576461,150000000,0.032447023666667,-0.01337016,0.02422964,0.8649454,-0.3520271,0.009962028,0.07940397,0.8824309,-0.02697168,0.4588905,-0.2619286,0.3357632,0.04922063,-0.9965217,0.8397156,-0.07667753,-0.3289548,-0.2491172,0.7168626,-0.9204047,0.5615384,-0.5013694,0.3270429
Rush Hour 2,226164286,90000000,0.382115081111111,0.1619865,-0.4841848,0.3518429,-0.3224767,-0.09046967,-0.7568951,0.8502431,-0.3764123,0.5454675,-0.4698408,0.2996907,-0.1292434,0.04623611,-1.028218,0.6514578,-0.4074471,-0.03454427,-1.131135,-0.5727928,0.01173054,-0.1564976,-0.3406613
The Shawshank Redemption,28341469,25000000,-0.376487682,0.04970035,-0.559913,-0.9822827,0.2763805,0.07346096,0.1076368,0.2497822,-0.1352297,0.1190895,-0.1872371,-0.2636547,-0.2587028,0.1326131,0.2511127,0.2258895,-0.3252638,0.5985997,-0.04062388,-0.3718087,-0.6049127,0.1644793,-0.1146726
Swordfish,69772969,102000000,-0.623773206372549,-0.4076168,0.3045258,-0.4840361,1.119308,-0.1956056,0.004913245,0.8622976,0.705988,1.170949,0.4362856,0.1495905,0.3146374,0.8687749,0.7683079,0.1384267,0.07451524,-1.102128,1.295473,-0.9103144,-0.08837604,-0.6675217,0.6980756
